,datetime,load
53768,15-07-2019 02:00,1721.2349
53769,15-07-2019 02:15,1700.6157
53770,15-07-2019 02:30,1681.9108
53771,15-07-2019 02:45,1665.5972
53772,15-07-2019 03:00,1652.0813
53773,15-07-2019 03:15,1641.6233
53774,15-07-2019 03:30,1635.732
53775,15-07-2019 03:45,1636.7618
53776,15-07-2019 04:00,1646.8531
53777,15-07-2019 04:15,1667.4836
53778,15-07-2019 04:30,1697.2124
53779,15-07-2019 04:45,1732.2316
53780,15-07-2019 05:00,1767.9546
53781,15-07-2019 05:15,1800.1063
53782,15-07-2019 05:30,1822.5634
53783,15-07-2019 05:45,1830.2212
53784,15-07-2019 06:00,1821.5312
53785,15-07-2019 06:15,1798.982
53786,15-07-2019 06:30,1768.873
53787,15-07-2019 06:45,1737.1152
53788,15-07-2019 07:00,1707.4431
53789,15-07-2019 07:15,1681.3811
53790,15-07-2019 07:30,1659.9028
53791,15-07-2019 07:45,1641.6328
53792,15-07-2019 08:00,1622.3564
53793,15-07-2019 08:15,1613.2931
53794,15-07-2019 08:30,1614.8295
53795,15-07-2019 08:45,1620.8999
53796,15-07-2019 09:00,1630.6772
53797,15-07-2019 09:15,1644.1749
53798,15-07-2019 09:30,1659.533
53799,15-07-2019 09:45,1676.3672
53800,15-07-2019 10:00,1694.8611
53801,15-07-2019 10:15,1715.3788
53802,15-07-2019 10:30,1738.614
53803,15-07-2019 10:45,1765.2576
53804,15-07-2019 11:00,1795.8336
53805,15-07-2019 11:15,1829.8341
53806,15-07-2019 11:30,1864.8309
53807,15-07-2019 11:45,1898.0397
53808,15-07-2019 12:00,1927.5352
53809,15-07-2019 12:15,1952.9238
53810,15-07-2019 12:30,1974.0264
53811,15-07-2019 12:45,1990.7957
53812,15-07-2019 13:00,2000.3439
53813,15-07-2019 13:15,1999.1714
53814,15-07-2019 13:30,1991.5161
53815,15-07-2019 13:45,1979.402
53816,15-07-2019 14:00,1963.9083
53817,15-07-2019 14:15,1948.6383
53818,15-07-2019 14:30,1935.1677
53819,15-07-2019 14:45,1923.8226
53820,15-07-2019 15:00,1913.1882
53821,15-07-2019 15:15,1901.8644
53822,15-07-2019 15:30,1893.6818
53823,15-07-2019 15:45,1888.0972
53824,15-07-2019 16:00,1885.1205
53825,15-07-2019 16:15,1884.1698
53826,15-07-2019 16:30,1888.3561
53827,15-07-2019 16:45,1896.7008
53828,15-07-2019 17:00,1908.1084
53829,15-07-2019 17:15,1922.1185
53830,15-07-2019 17:30,1936.558
53831,15-07-2019 17:45,1951.5022
53832,15-07-2019 18:00,1967.1874
53833,15-07-2019 18:15,1984.0035
53834,15-07-2019 18:30,2002.094
53835,15-07-2019 18:45,2021.3164
53836,15-07-2019 19:00,2041.4185
53837,15-07-2019 19:15,2062.2202
53838,15-07-2019 19:30,2081.81
53839,15-07-2019 19:45,2099.3857
53840,15-07-2019 20:00,2114.1367
53841,15-07-2019 20:15,2125.1729
53842,15-07-2019 20:30,2131.7324
53843,15-07-2019 20:45,2134.1506
53844,15-07-2019 21:00,2133.1848
53845,15-07-2019 21:15,2129.7915
53846,15-07-2019 21:30,2125.1758
53847,15-07-2019 21:45,2119.8376
53848,15-07-2019 22:00,2114.205
53849,15-07-2019 22:15,2108.599
53850,15-07-2019 22:30,2102.294
53851,15-07-2019 22:45,2094.7876
53852,15-07-2019 23:00,2088.2954
53853,15-07-2019 23:15,2090.1301
53854,15-07-2019 23:30,2073.2837
53855,15-07-2019 23:45,2051.2676
53856,16-07-2019 00:00,2025.6808
53857,16-07-2019 00:15,2009.8495
53858,16-07-2019 00:30,1994.0707
53859,16-07-2019 00:45,1979.2728
53860,16-07-2019 01:00,1965.6809
53861,16-07-2019 01:15,1952.9539
53862,16-07-2019 01:30,1941.5804
53863,16-07-2019 01:45,1930.552
53864,16-07-2019 02:00,1919.0023
53865,16-07-2019 02:15,1906.4886
53866,16-07-2019 02:30,1892.5602
53867,16-07-2019 02:45,1877.8545
53868,16-07-2019 03:00,1864.8104
53869,16-07-2019 03:15,1852.1294
53870,16-07-2019 03:30,1833.932
53871,16-07-2019 03:45,1811.8784
53872,16-07-2019 04:00,1784.7742
53873,16-07-2019 04:15,1753.4644
53874,16-07-2019 04:30,1723.1519
53875,16-07-2019 04:45,1693.9404
53876,16-07-2019 05:00,1665.3115
53877,16-07-2019 05:15,1637.1471
53878,16-07-2019 05:30,1614.6285
53879,16-07-2019 05:45,1596.9517
53880,16-07-2019 06:00,1583.4265
53881,16-07-2019 06:15,1574.1581
53882,16-07-2019 06:30,1565.735
53883,16-07-2019 06:45,1557.5574
53884,16-07-2019 07:00,1549.5835
53885,16-07-2019 07:15,1542.6418
53886,16-07-2019 07:30,1537.615
53887,16-07-2019 07:45,1535.7065
53888,16-07-2019 08:00,1537.6453
53889,16-07-2019 08:15,1543.2876
53890,16-07-2019 08:30,1552.08
53891,16-07-2019 08:45,1562.2998
53892,16-07-2019 09:00,1571.5292
53893,16-07-2019 09:15,1577.9019
53894,16-07-2019 09:30,1580.8632
53895,16-07-2019 09:45,1580.5262
53896,16-07-2019 10:00,1580.2843
53897,16-07-2019 10:15,1578.6216
53898,16-07-2019 10:30,1577.2316
53899,16-07-2019 10:45,1576.7538
53900,16-07-2019 11:00,1577.3585
53901,16-07-2019 11:15,1579.0448
53902,16-07-2019 11:30,1581.8275
53903,16-07-2019 11:45,1585.4358
53904,16-07-2019 12:00,1589.5144
53905,16-07-2019 12:15,1593.8352
53906,16-07-2019 12:30,1598.4757
53907,16-07-2019 12:45,1603.0974
53908,16-07-2019 13:00,1607.4937
53909,16-07-2019 13:15,1611.9491
53910,16-07-2019 13:30,1617.9636
53911,16-07-2019 13:45,1625.5347
53912,16-07-2019 14:00,1634.4928
53913,16-07-2019 14:15,1644.5232
53914,16-07-2019 14:30,1655.7482
53915,16-07-2019 14:45,1667.8212
53916,16-07-2019 15:00,1680.6283
53917,16-07-2019 15:15,1694.0314
53918,16-07-2019 15:30,1706.2264
53919,16-07-2019 15:45,1716.9104
53920,16-07-2019 16:00,1725.9307
53921,16-07-2019 16:15,1733.3499
53922,16-07-2019 16:30,1739.3774
53923,16-07-2019 16:45,1743.8098
53924,16-07-2019 17:00,1746.6099
53925,16-07-2019 17:15,1748.1632
53926,16-07-2019 17:30,1749.4769
53927,16-07-2019 17:45,1751.136
53928,16-07-2019 18:00,1753.1675
53929,16-07-2019 18:15,1754.7898
53930,16-07-2019 18:30,1754.6819
53931,16-07-2019 18:45,1751.3213
53932,16-07-2019 19:00,1743.9878
53933,16-07-2019 19:15,1733.3046
53934,16-07-2019 19:30,1720.7988
53935,16-07-2019 19:45,1708.0618
53936,16-07-2019 20:00,1696.0026
53937,16-07-2019 20:15,1685.1212
53938,16-07-2019 20:30,1675.6254
53939,16-07-2019 20:45,1668.0979
53940,16-07-2019 21:00,1663.1074
53941,16-07-2019 21:15,1660.9767
53942,16-07-2019 21:30,1661.5682
53943,16-07-2019 21:45,1664.4634
53944,16-07-2019 22:00,1669.0345
53945,16-07-2019 22:15,1674.589
53946,16-07-2019 22:30,1680.5153
53947,16-07-2019 22:45,1686.2916
53948,16-07-2019 23:00,1691.4534
53949,16-07-2019 23:15,1695.6372
53950,16-07-2019 23:30,1699.9427
53951,16-07-2019 23:45,1704.8591
53952,17-07-2019 00:00,1710.6116
53953,17-07-2019 00:15,1714.5695
53954,17-07-2019 00:30,1716.713
53955,17-07-2019 00:45,1716.6571
53956,17-07-2019 01:00,1714.2078
53957,17-07-2019 01:15,1709.1752
53958,17-07-2019 01:30,1701.3376
53959,17-07-2019 01:45,1690.0399
53960,17-07-2019 02:00,1674.5109
53961,17-07-2019 02:15,1654.1036
53962,17-07-2019 02:30,1629.3623
53963,17-07-2019 02:45,1601.2634
53964,17-07-2019 03:00,1571.1938
53965,17-07-2019 03:15,1540.7415
53966,17-07-2019 03:30,1510.4379
53967,17-07-2019 03:45,1481.1217
53968,17-07-2019 04:00,1453.3688
53969,17-07-2019 04:15,1427.6418
53970,17-07-2019 04:30,1403.8202
53971,17-07-2019 04:45,1381.9054
53972,17-07-2019 05:00,1361.776
53973,17-07-2019 05:15,1343.1992
53974,17-07-2019 05:30,1326.3639
53975,17-07-2019 05:45,1311.3895
53976,17-07-2019 06:00,1298.4639
53977,17-07-2019 06:15,1287.8079
53978,17-07-2019 06:30,1280.0093
53979,17-07-2019 06:45,1275.3112
53980,17-07-2019 07:00,1273.9244
53981,17-07-2019 07:15,1276.0436
53982,17-07-2019 07:30,1281.4689
53983,17-07-2019 07:45,1289.8993
53984,17-07-2019 08:00,1300.888
53985,17-07-2019 08:15,1313.8549
53986,17-07-2019 08:30,1328.1196
53987,17-07-2019 08:45,1343.133
53988,17-07-2019 09:00,1358.3876
53989,17-07-2019 09:15,1373.4342
53990,17-07-2019 09:30,1387.8921
53991,17-07-2019 09:45,1401.6312
53992,17-07-2019 10:00,1414.6543
53993,17-07-2019 10:15,1427.079
53994,17-07-2019 10:30,1439.0288
53995,17-07-2019 10:45,1450.6233
53996,17-07-2019 11:00,1461.947
53997,17-07-2019 11:15,1473.045
53998,17-07-2019 11:30,1483.793
